ST_CASE,VEH_NO,PHARM_EV,PCARGTYP,PSP_USE,PVEH_SEV,PDEATHS
10076,2,18,0,0,4,0
10234,2,14,0,0,4,0
10278,2,14,0,0,6,0
10278,3,14,0,0,6,0
10305,2,14,1,0,2,0
10305,3,14,0,0,6,0
10322,3,12,0,0,9,0
10468,2,14,3,0,2,0
10493,2,59,0,0,4,0
10512,2,14,0,0,6,0
10558,2,14,0,0,6,0
10576,2,14,0,0,6,0
10584,3,12,0,0,6,0
10596,2,14,1,0,6,0
10608,2,45,4,0,6,1
10649,2,14,0,0,6,0
10694,2,14,0,0,2,0
10712,3,12,0,0,6,0
40002,2,14,0,0,6,1
40002,3,14,0,0,6,0
40067,4,12,0,0,8,0
40131,2,38,0,0,8,0
40131,3,38,0,0,8,0
40131,4,38,0,0,8,0
40131,5,38,0,0,8,0
40153,2,14,0,0,2,0
40170,2,59,96,0,2,0
40178,2,14,0,0,6,0
40178,3,14,0,0,6,0
40178,4,14,0,0,4,0
40178,5,14,0,0,4,0
40178,6,14,0,0,4,0
40272,2,14,0,0,4,0
40303,2,14,0,0,2,0
40339,2,8,0,0,2,0
40339,3,8,0,0,6,0
40343,2,33,0,0,6,0
40350,3,12,0,0,9,0
40350,4,12,0,0,9,0
40382,2,14,3,0,2,0
40433,2,14,0,0,6,0
40438,3,12,3,0,6,0
40448,2,18,1,0,6,0
40590,2,34,0,0,4,0
40613,2,31,0,0,6,0
40613,3,31,0,0,6,0
40613,4,31,0,0,2,0
40613,5,31,0,0,2,0
40613,6,31,0,0,2,0
40613,7,31,0,0,2,0
40613,8,31,0,0,2,0
40670,3,12,0,0,2,0
40726,2,9,0,0,9,0
40726,3,9,0,0,9,0
50308,2,14,1,0,6,0
50308,3,14,6,0,4,0
50311,2,14,0,0,2,0
50341,3,12,0,0,4,0
50358,3,12,0,0,6,0
50413,2,14,0,0,6,0
50413,3,14,0,0,6,0
50413,4,14,0,0,6,0
50413,5,14,0,0,6,0
50413,6,14,0,0,6,0
50413,7,14,0,0,6,0
50413,8,14,0,0,6,0
50413,9,14,0,0,6,0
50413,10,14,0,0,6,0
50413,11,14,0,0,6,0
50413,12,14,0,0,6,0
50451,2,8,0,0,2,0
50480,2,34,0,0,2,0
60067,2,14,22,2,4,0
60090,2,14,96,0,6,0
60098,2,14,0,0,2,0
60100,2,14,96,0,4,0
60100,3,14,0,0,6,0
60100,4,14,0,0,4,0
60109,3,12,0,0,2,0
60150,3,12,98,0,2,0
60192,1,14,3,0,6,0
60258,3,12,0,0,2,0
60276,2,1,0,0,4,0
60298,2,8,0,0,2,0
60299,3,12,0,0,2,0
60314,2,1,1,0,0,0
60370,2,33,0,0,2,0
60371,3,12,0,0,2,0
60409,2,8,0,0,0,0
60438,2,14,0,0,2,0
60447,3,12,0,0,2,0
60451,2,14,3,0,6,0
60487,2,14,0,0,4,0
60487,3,14,0,0,6,0
60603,3,12,0,0,4,0
60603,4,12,0,0,4,0
60613,2,8,0,0,6,0
60613,3,8,0,0,6,0
60617,2,14,0,0,2,0
60617,3,14,0,0,2,0
60624,3,12,0,0,4,0
60624,4,12,0,0,2,0
60625,2,8,0,0,4,0
60632,3,12,0,0,2,0
60667,2,33,0,0,2,0
60670,2,33,0,0,2,0
60780,2,33,0,0,4,0
60786,3,12,0,0,2,0
60786,4,12,0,0,2,0
60797,2,14,0,0,6,0
60797,3,14,0,0,2,0
60797,4,14,0,0,6,0
60847,2,14,0,0,6,0
60883,2,33,0,0,2,0
60914,2,14,1,0,2,0
60935,2,8,4,0,0,0
60940,2,14,1,0,4,0
60953,2,14,0,0,6,0
60955,2,14,0,0,6,0
60955,3,14,0,0,2,0
60958,2,33,0,0,2,0
60968,2,14,3,0,2,0
60975,2,9,0,0,2,0
60984,3,12,0,0,4,0
61033,2,14,0,0,4,0
61034,2,33,0,0,2,0
61035,2,14,0,0,4,0
61037,3,12,0,0,2,0
61047,2,33,0,0,6,0
61061,2,8,0,0,4,0
61061,3,8,0,0,2,0
61118,2,14,0,0,6,1
61122,2,8,0,0,2,0
61122,3,8,3,0,9,0
61123,2,14,0,0,6,0
61180,2,33,0,0,4,0
61187,3,12,0,0,6,0
61242,3,12,0,0,0,0
61257,2,1,0,0,2,0
61286,4,12,0,0,0,0
61286,5,12,0,0,6,0
61286,6,12,0,0,4,0
61286,7,12,0,0,6,0
61307,2,14,0,0,6,0
61307,3,14,0,0,4,0
61325,3,12,0,0,2,0
61341,2,14,1,0,2,0
61356,2,14,0,0,8,0
61357,2,14,0,0,4,0
61357,3,14,0,0,2,0
61369,2,14,0,0,4,0
61369,3,14,0,0,2,0
61376,2,14,0,0,6,1
61376,3,14,0,0,6,0
61391,2,33,0,0,6,0
61394,2,14,0,0,6,1
61421,1,14,3,0,6,0
61422,2,8,97,0,2,0
61428,2,30,0,0,6,0
61449,2,8,0,0,6,0
61483,2,33,0,0,2,0
61493,2,30,0,0,6,0
61493,3,30,0,0,6,0
61493,4,30,0,0,4,0
61506,2,8,0,0,6,0
61512,2,8,0,0,2,0
61528,2,9,0,0,2,0
61528,3,9,0,0,6,0
61528,4,9,0,0,6,0
61595,2,8,0,0,6,0
61616,2,14,0,0,6,0
61616,3,14,0,0,4,0
61627,3,12,0,0,2,0
61673,2,42,0,0,4,0
61673,3,42,0,0,2,0
61690,3,12,0,0,2,0
61692,2,8,3,0,4,0
61702,2,73,0,0,0,0
61705,2,33,0,0,6,0
61720,2,33,0,0,6,0
61732,2,14,0,0,6,0
61763,5,12,0,0,6,0
61763,6,12,0,0,8,0
61891,3,12,0,0,6,0
61891,4,12,0,0,4,0
61898,2,33,0,0,4,0
61898,3,33,0,0,4,0
61898,4,33,0,0,2,0
61900,3,12,0,0,4,0
61900,4,12,0,0,2,0
61970,2,8,0,0,2,0
62013,2,8,0,0,2,0
62166,2,14,1,0,2,0
62166,3,14,1,0,2,0
62177,2,18,3,0,6,0
62211,2,14,0,0,2,0
62248,2,1,0,0,4,0
62340,2,14,0,0,6,0
62347,3,12,0,0,4,0
62349,1,14,1,0,4,0
62355,2,14,98,0,2,0
62359,2,8,0,0,2,0
62362,2,33,0,0,4,0
62383,2,14,1,0,2,0
62387,3,12,1,0,4,0
62406,2,14,0,0,4,0
62406,3,14,0,0,6,0
62406,4,14,0,0,4,0
62453,2,14,3,0,2,0
62458,2,30,0,0,6,0
62582,3,12,4,0,2,0
62582,4,12,0,0,2,0
62614,3,33,0,0,4,0
62614,4,33,0,0,2,0
62625,2,14,0,0,6,0
62641,2,33,0,0,2,0
62652,2,9,0,0,2,0
62666,2,14,1,0,2,0
62705,2,8,0,0,2,0
62705,3,8,0,0,2,0
62712,2,14,0,0,4,0
62719,2,7,0,0,2,0
62734,2,14,98,0,4,0
62741,2,14,3,0,2,0
62741,3,14,97,0,4,0
62744,2,8,0,0,4,0
62748,4,12,0,0,2,0
62750,2,18,0,0,4,0
62750,3,18,0,0,4,0
62753,2,14,0,0,4,0
62755,2,8,0,0,2,0
62761,2,33,0,0,4,0
62762,2,14,0,0,6,1
62774,2,14,0,0,4,0
62774,3,14,0,0,2,0
62816,3,12,0,0,6,0
62816,4,12,0,0,6,0
62816,5,12,0,0,6,0
62816,6,12,0,0,6,0
62816,7,12,0,0,6,0
62816,8,12,0,0,6,0
62819,3,8,0,0,2,0
62833,2,43,2,0,4,0
62858,3,12,0,0,2,0
62858,4,12,0,0,2,0
62875,2,14,0,0,6,0
62904,3,12,0,0,8,0
62926,2,14,0,0,6,0
62930,3,12,0,0,2,0
62931,2,14,0,0,4,0
62931,3,14,0,0,4,0
80002,2,8,0,0,4,0
80032,2,1,0,0,4,0
80143,2,59,0,0,2,0
80143,3,59,0,0,6,0
80151,2,14,0,0,6,0
80151,3,14,0,0,8,0
80188,3,59,0,0,6,0
80221,2,14,0,0,6,0
80221,3,14,0,0,6,0
80294,5,12,0,0,6,0
80294,6,12,0,0,6,0
80443,2,33,0,0,6,0
80443,3,33,0,0,6,0
90012,2,14,0,0,6,0
90033,2,8,0,0,6,0
90071,1,8,0,0,6,0
90114,2,8,0,0,6,0
90114,3,8,0,0,4,0
90124,2,38,0,0,9,0
90181,3,12,0,0,6,0
90181,4,12,0,0,2,0
100084,1,14,1,0,6,0
110003,2,14,97,0,2,0
110011,2,8,0,0,2,0
120112,2,14,1,0,6,0
120138,2,8,0,0,4,0
120181,3,14,0,0,6,0
120249,2,32,0,0,4,0
120249,3,32,0,0,2,0
120271,2,14,0,0,6,0
120284,3,12,0,0,4,0
120392,2,43,0,0,2,0
120392,3,43,0,0,2,0
120392,4,43,0,0,2,0
120411,2,59,0,0,4,0
120447,2,14,0,0,6,0
120447,3,14,0,0,6,0
120497,3,12,0,0,6,0
120523,3,12,98,0,4,0
120565,2,33,0,0,2,0
120573,2,14,0,0,4,0
120664,2,1,0,0,6,0
120664,3,1,0,0,6,0
120684,2,14,0,0,4,0
120723,1,8,0,0,6,0
120733,2,53,0,0,4,0
120733,3,53,0,0,2,0
120758,2,33,1,0,2,0
120868,3,12,0,0,6,0
120890,3,12,0,0,4,0
120890,4,12,0,0,4,0
120897,2,45,0,0,6,1
120914,1,8,0,0,6,0
120922,2,33,0,0,4,0
120992,2,8,0,0,4,0
121056,3,12,0,0,2,0
121069,2,42,0,0,4,0
121109,2,38,0,0,4,0
121130,2,14,0,0,6,0
121196,2,38,0,0,4,0
121222,2,14,0,0,2,0
121222,3,14,0,0,2,0
121222,4,14,0,0,2,0
121227,3,12,0,0,2,0
121283,2,14,0,0,2,0
121283,3,14,0,0,2,0
121283,4,14,0,0,2,0
121331,3,8,0,0,6,0
121384,2,33,0,0,4,0
121384,3,33,0,0,4,0
121514,2,42,0,0,6,0
121514,3,42,0,0,4,0
121514,4,42,0,0,4,0
121614,2,14,0,0,6,0
121669,2,14,0,0,6,0
121840,3,12,0,0,4,0
121850,2,59,0,0,6,0
121850,3,59,0,0,6,0
121955,2,8,0,0,2,0
122008,6,12,0,0,4,0
122008,7,12,0,0,4,0
122008,8,12,0,0,2,0
122151,2,14,1,0,6,0
122267,2,18,0,0,4,0
122310,2,8,0,0,2,0
122445,2,14,0,0,2,0
