STATE,ST_CASE,VEH_NO,PER_NO,PBPTYPE,PBAGE,PBSEX,PBCWALK,PBSWALK,PBSZONE,PEDCTYPE,BIKECTYPE,PEDLOC,BIKELOC,PEDPOS,BIKEPOS,PEDDIR,BIKEDIR,MOTDIR,MOTMAN,PEDLEG,PEDSNR,PEDCGP,BIKECGP
43,430002,0,1,5,53,1,0,0,0,312,0,3,7,3,7,8,7,8,8,8,8,310,0
43,430003,0,1,5,20,1,0,0,0,140,0,3,7,3,7,8,7,8,8,8,8,100,0
43,430007,0,1,5,75,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430008,0,1,5,88,1,0,0,0,770,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430013,0,1,5,68,2,1,0,0,770,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430014,0,1,6,64,1,0,0,0,0,380,7,3,77,1,7,1,7,7,7,7,0,190
43,430023,0,1,5,82,1,0,0,0,760,0,1,7,1,7,4,7,1,3,1,2b,750,0
43,430024,0,1,8,17,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430026,0,1,5,26,1,0,0,0,420,0,3,7,4,7,8,7,8,8,8,8,400,0
43,430027,0,1,5,62,1,0,0,0,313,0,3,7,3,7,8,7,8,8,8,8,600,0
43,430029,0,1,5,82,1,0,0,0,420,0,3,7,3,7,8,7,8,8,8,8,400,0
43,430036,0,1,5,54,1,0,0,0,520,0,3,7,4,7,8,7,8,8,8,8,500,0
43,430038,0,1,5,72,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430041,0,1,5,65,2,0,1,0,430,0,3,7,5,7,8,7,8,8,8,8,400,0
43,430050,0,1,5,47,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430051,0,1,5,33,1,0,0,0,213,0,3,7,3,7,8,7,8,8,8,8,200,0
43,430053,0,1,5,59,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430055,0,1,8,14,1,0,0,0,312,0,3,7,3,7,8,7,8,8,8,8,310,0
43,430056,0,1,5,50,1,0,0,0,770,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430061,0,1,5,54,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430062,0,1,5,54,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430069,0,1,5,52,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430073,0,1,5,74,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430074,0,1,5,38,2,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430078,0,1,5,42,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430080,0,1,5,53,2,0,0,0,770,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430084,0,1,5,51,1,0,0,0,770,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430087,0,1,5,93,2,0,0,0,770,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430090,0,1,5,59,1,0,0,0,420,0,3,7,4,7,8,7,8,8,8,8,400,0
43,430093,0,1,6,17,1,0,0,0,0,800,7,3,77,1,7,1,7,7,7,7,0,850
43,430096,0,1,5,56,1,0,0,0,770,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430098,0,1,5,46,2,0,0,0,610,0,3,7,3,7,8,7,8,8,8,8,600,0
43,430102,0,1,8,38,1,0,0,0,430,0,3,7,3,7,8,7,8,8,8,8,400,0
43,430104,0,1,5,24,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430105,0,1,5,61,1,0,0,0,770,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430108,0,1,5,53,1,0,0,0,770,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430109,0,1,5,73,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430110,0,1,5,50,1,0,0,0,770,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430114,0,1,5,66,1,0,0,0,770,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430117,0,1,5,83,2,0,0,0,410,0,3,7,6,7,8,7,8,8,8,8,400,0
43,430120,0,1,5,47,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430120,0,2,5,49,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430121,0,1,5,63,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430126,0,1,5,72,1,0,0,0,770,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430127,0,1,6,67,1,0,0,0,0,280,7,3,77,1,7,1,7,7,7,7,0,290
43,430131,0,1,5,49,2,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430134,0,1,6,22,1,0,0,0,0,241,7,3,77,1,7,1,7,7,7,7,0,240
43,430140,0,1,5,36,2,0,0,0,410,0,3,7,3,7,8,7,8,8,8,8,400,0
43,430146,0,1,5,76,1,0,0,0,770,0,3,7,3,7,8,7,8,8,8,8,750,0
43,430148,0,1,5,57,1,0,0,0,770,0,3,7,3,7,8,7,8,8,8,8,750,0
